dataset,model,importance_view,encoded_feature,original_feature,importance
uci,Decision Tree,encoded,categorical__stalk-surface-below-ring_f,stalk-surface-below-ring,0.0
uci,Decision Tree,encoded,categorical__stalk-surface-below-ring_k,stalk-surface-below-ring,0.0
uci,Decision Tree,encoded,categorical__stalk-surface-below-ring_s,stalk-surface-below-ring,0.0
uci,Decision Tree,encoded,categorical__stalk-color-above-ring_b,stalk-color-above-ring,0.0
uci,Decision Tree,encoded,categorical__stalk-color-above-ring_c,stalk-color-above-ring,0.0
uci,Decision Tree,encoded,categorical__stalk-color-above-ring_e,stalk-color-above-ring,0.0
uci,Decision Tree,encoded,categorical__stalk-surface-above-ring_y,stalk-surface-above-ring,0.0
uci,Decision Tree,encoded,categorical__stalk-surface-above-ring_f,stalk-surface-above-ring,0.0
uci,Decision Tree,encoded,categorical__stalk-color-above-ring_o,stalk-color-above-ring,0.0
uci,Decision Tree,encoded,categorical__stalk-color-above-ring_p,stalk-color-above-ring,0.0
uci,Decision Tree,encoded,categorical__stalk-color-above-ring_w,stalk-color-above-ring,0.0
uci,Decision Tree,encoded,categorical__stalk-color-above-ring_y,stalk-color-above-ring,0.0
uci,Decision Tree,encoded,categorical__stalk-color-below-ring_b,stalk-color-below-ring,0.0
uci,Decision Tree,encoded,categorical__stalk-color-below-ring_c,stalk-color-below-ring,0.0
uci,Decision Tree,encoded,categorical__stalk-color-below-ring_e,stalk-color-below-ring,0.0
uci,Decision Tree,encoded,categorical__stalk-color-below-ring_g,stalk-color-below-ring,0.0
uci,Decision Tree,encoded,categorical__stalk-color-below-ring_n,stalk-color-below-ring,0.0
uci,Decision Tree,encoded,categorical__stalk-color-below-ring_o,stalk-color-below-ring,0.0
uci,Decision Tree,encoded,categorical__stalk-color-below-ring_p,stalk-color-below-ring,0.0
uci,Decision Tree,encoded,categorical__stalk-color-below-ring_w,stalk-color-below-ring,0.0
uci,Decision Tree,encoded,categorical__stalk-color-below-ring_y,stalk-color-below-ring,0.0
uci,Decision Tree,encoded,categorical__veil-type_p,veil-type,0.0
uci,Decision Tree,encoded,categorical__stalk-color-above-ring_g,stalk-color-above-ring,0.0
uci,Decision Tree,encoded,categorical__stalk-color-above-ring_n,stalk-color-above-ring,0.0
uci,Decision Tree,encoded,categorical__veil-color_o,veil-color,0.0
uci,Decision Tree,encoded,categorical__veil-color_n,veil-color,0.0
uci,Decision Tree,encoded,categorical__ring-number_n,ring-number,0.0
uci,Decision Tree,encoded,categorical__veil-color_w,veil-color,0.0
uci,Decision Tree,encoded,categorical__ring-number_o,ring-number,0.0
uci,Decision Tree,encoded,categorical__ring-type_e,ring-type,0.0
uci,Decision Tree,encoded,categorical__ring-type_f,ring-type,0.0
uci,Decision Tree,encoded,categorical__veil-color_y,veil-color,0.0
uci,Decision Tree,encoded,categorical__ring-type_l,ring-type,0.0
uci,Decision Tree,encoded,categorical__ring-type_n,ring-type,0.0
uci,Decision Tree,encoded,categorical__spore-print-color_b,spore-print-color,0.0
uci,Decision Tree,encoded,categorical__ring-type_p,ring-type,0.0
uci,Decision Tree,encoded,categorical__spore-print-color_h,spore-print-color,0.0
uci,Decision Tree,encoded,categorical__spore-print-color_k,spore-print-color,0.0
uci,Decision Tree,encoded,categorical__spore-print-color_n,spore-print-color,0.0
uci,Decision Tree,encoded,categorical__spore-print-color_o,spore-print-color,0.0
uci,Decision Tree,encoded,categorical__spore-print-color_u,spore-print-color,0.0
uci,Decision Tree,encoded,categorical__spore-print-color_w,spore-print-color,0.0
uci,Decision Tree,encoded,categorical__spore-print-color_y,spore-print-color,0.0
uci,Decision Tree,encoded,categorical__population_a,population,0.0
uci,Decision Tree,encoded,categorical__population_c,population,0.0
uci,Decision Tree,encoded,categorical__population_n,population,0.0
uci,Decision Tree,encoded,categorical__population_s,population,0.0
uci,Decision Tree,encoded,categorical__population_v,population,0.0
uci,Decision Tree,encoded,categorical__population_y,population,0.0
uci,Decision Tree,encoded,categorical__habitat_d,habitat,0.0
uci,Decision Tree,encoded,categorical__habitat_g,habitat,0.0
uci,Decision Tree,encoded,categorical__habitat_l,habitat,0.0
uci,Decision Tree,encoded,categorical__habitat_m,habitat,0.0
uci,Decision Tree,encoded,categorical__habitat_p,habitat,0.0
uci,Decision Tree,encoded,categorical__habitat_u,habitat,0.0
uci,Decision Tree,encoded,categorical__habitat_w,habitat,0.0
uci,Decision Tree,aggregated,,odor,0.6622997163547893
uci,Decision Tree,aggregated,,stalk-root,0.17932234545923406
uci,Decision Tree,aggregated,,stalk-surface-below-ring,0.09852758640290787
uci,Decision Tree,aggregated,,spore-print-color,0.03582957392097904
uci,Decision Tree,aggregated,,bruises,0.016225962553419345
uci,Decision Tree,aggregated,,ring-number,0.005331464413833249
uci,Decision Tree,aggregated,,cap-surface,0.0018440607897824367
uci,Decision Tree,aggregated,,cap-shape,0.0006155915464542261
uci,Decision Tree,aggregated,,gill-size,3.6985586003782224e-06
uci,Decision Tree,aggregated,,cap-color,0.0
uci,Decision Tree,aggregated,,gill-color,0.0
uci,Decision Tree,aggregated,,gill-attachment,0.0
uci,Decision Tree,aggregated,,habitat,0.0
uci,Decision Tree,aggregated,,gill-spacing,0.0
uci,Decision Tree,aggregated,,ring-type,0.0
uci,Decision Tree,aggregated,,population,0.0
uci,Decision Tree,aggregated,,stalk-color-below-ring,0.0
uci,Decision Tree,aggregated,,stalk-color-above-ring,0.0
uci,Decision Tree,aggregated,,stalk-shape,0.0
uci,Decision Tree,aggregated,,stalk-surface-above-ring,0.0
uci,Decision Tree,aggregated,,veil-color,0.0
uci,Decision Tree,aggregated,,veil-type,0.0
uci,Random Forest,encoded,categorical__odor_n,odor,0.14129674194349848
uci,Random Forest,encoded,categorical__gill-size_n,gill-size,0.0666291846365107
uci,Random Forest,encoded,categorical__odor_f,odor,0.05799133301137452
uci,Random Forest,encoded,categorical__gill-size_b,gill-size,0.052806372081350667
uci,Random Forest,encoded,categorical__spore-print-color_h,spore-print-color,0.05268442584861926
uci,Random Forest,encoded,categorical__stalk-surface-below-ring_k,stalk-surface-below-ring,0.051190698142675885
uci,Random Forest,encoded,categorical__stalk-surface-above-ring_k,stalk-surface-above-ring,0.037258726220440914
uci,Random Forest,encoded,categorical__ring-type_p,ring-type,0.03634602732264034
uci,Random Forest,encoded,categorical__gill-color_b,gill-color,0.035291609764794916
uci,Random Forest,encoded,categorical__bruises_t,bruises,0.026548506490508
uci,Random Forest,encoded,categorical__bruises_f,bruises,0.02449962586748844
uci,Random Forest,encoded,categorical__ring-type_l,ring-type,0.020607028772569563
uci,Random Forest,encoded,categorical__stalk-surface-above-ring_s,stalk-surface-above-ring,0.02045867198019293
uci,Random Forest,encoded,categorical__gill-spacing_c,gill-spacing,0.01956346438932464
uci,Random Forest,encoded,categorical__population_v,population,0.01851768075742091
uci,Random Forest,encoded,categorical__gill-spacing_w,gill-spacing,0.018135737381549482
uci,Random Forest,encoded,categorical__spore-print-color_w,spore-print-color,0.01803294136419957
uci,Random Forest,encoded,categorical__odor_p,odor,0.01693584039415981
uci,Random Forest,encoded,categorical__stalk-surface-below-ring_s,stalk-surface-below-ring,0.01679406277751742
uci,Random Forest,encoded,categorical__stalk-root_e,stalk-root,0.015033197596962533
uci,Random Forest,encoded,categorical__stalk-root_b,stalk-root,0.014103895551338336
uci,Random Forest,encoded,categorical__stalk-shape_t,stalk-shape,0.013890245486857772
uci,Random Forest,encoded,categorical__stalk-shape_e,stalk-shape,0.012101521914221484
uci,Random Forest,encoded,categorical__habitat_u,habitat,0.009881367572424686
uci,Random Forest,encoded,categorical__odor_c,odor,0.009693316265160859
uci,Random Forest,encoded,categorical__habitat_d,habitat,0.008377988810578541
uci,Random Forest,encoded,categorical__spore-print-color_r,spore-print-color,0.007539294145336904
uci,Random Forest,encoded,categorical__ring-type_e,ring-type,0.007409362305615704
uci,Random Forest,encoded,categorical__odor_a,odor,0.006849908286489149
uci,Random Forest,encoded,categorical__stalk-color-below-ring_w,stalk-color-below-ring,0.006776781329440624
uci,Random Forest,encoded,categorical__odor_l,odor,0.006688796505852275
uci,Random Forest,encoded,categorical__spore-print-color_n,spore-print-color,0.006525049691353491
uci,Random Forest,encoded,categorical__population_y,population,0.005617720594593634
uci,Random Forest,encoded,categorical__stalk-surface-below-ring_f,stalk-surface-below-ring,0.005615813838793922
uci,Random Forest,encoded,categorical__stalk-root_c,stalk-root,0.005137047930683216
uci,Random Forest,encoded,categorical__ring-number_t,ring-number,0.00496199376614468
uci,Random Forest,encoded,categorical__cap-color_y,cap-color,0.004844151707923051
uci,Random Forest,encoded,categorical__stalk-root_unknown,stalk-root,0.004801450529850815
uci,Random Forest,encoded,categorical__population_s,population,0.004546467801034171
uci,Random Forest,encoded,categorical__cap-surface_f,cap-surface,0.00413516790269952
uci,Random Forest,encoded,categorical__habitat_m,habitat,0.0039923984599454865
uci,Random Forest,encoded,categorical__ring-number_o,ring-number,0.003923608045178611
uci,Random Forest,encoded,categorical__cap-surface_s,cap-surface,0.003899217380568524
uci,Random Forest,encoded,categorical__habitat_g,habitat,0.0038959417365037057
uci,Random Forest,encoded,categorical__habitat_p,habitat,0.003721830108534517
uci,Random Forest,encoded,categorical__odor_s,odor,0.003709669632852322
uci,Random Forest,encoded,categorical__stalk-color-above-ring_w,stalk-color-above-ring,0.0035039946199910688
uci,Random Forest,encoded,categorical__stalk-color-above-ring_g,stalk-color-above-ring,0.003263484667684447
uci,Random Forest,encoded,categorical__stalk-surface-above-ring_f,stalk-surface-above-ring,0.003228260911356935
uci,Random Forest,encoded,categorical__spore-print-color_k,spore-print-color,0.0032043279591447258
uci,Random Forest,encoded,categorical__population_n,population,0.0030393862796470406
uci,Random Forest,encoded,categorical__cap-shape_b,cap-shape,0.003013434471342867
uci,Random Forest,encoded,categorical__stalk-root_r,stalk-root,0.0029511733703724724
uci,Random Forest,encoded,categorical__odor_y,odor,0.0028702224678325188
uci,Random Forest,encoded,categorical__stalk-surface-below-ring_y,stalk-surface-below-ring,0.002839874774309783
uci,Random Forest,encoded,categorical__stalk-color-above-ring_p,stalk-color-above-ring,0.002716509309878146
uci,Random Forest,encoded,categorical__population_a,population,0.002419202730257291
uci,Random Forest,encoded,categorical__gill-color_h,gill-color,0.002305695799488701
uci,Random Forest,encoded,categorical__cap-surface_y,cap-surface,0.002204787399914342
uci,Random Forest,encoded,categorical__population_c,population,0.0020354576507905105
uci,Random Forest,encoded,categorical__cap-color_b,cap-color,0.001935018942480393
uci,Random Forest,encoded,categorical__cap-color_w,cap-color,0.0019228743272131548
uci,Random Forest,encoded,categorical__gill-color_r,gill-color,0.0018185629867948146
uci,Random Forest,encoded,categorical__gill-color_w,gill-color,0.001791540136559271
uci,Random Forest,encoded,categorical__cap-color_n,cap-color,0.0017506794342647732
uci,Random Forest,encoded,categorical__cap-color_p,cap-color,0.0017322457114140213
uci,Random Forest,encoded,categorical__habitat_w,habitat,0.0015716253046948847
uci,Random Forest,encoded,categorical__ring-type_f,ring-type,0.0013972283890158978
uci,Random Forest,encoded,categorical__stalk-color-above-ring_n,stalk-color-above-ring,0.0013938375983808156
uci,Random Forest,encoded,categorical__stalk-color-below-ring_y,stalk-color-below-ring,0.0013088892940940494
uci,Random Forest,encoded,categorical__stalk-color-below-ring_b,stalk-color-below-ring,0.001259406258011511
uci,Random Forest,encoded,categorical__ring-number_n,ring-number,0.0012333315885482787
uci,Random Forest,encoded,categorical__stalk-color-above-ring_b,stalk-color-above-ring,0.001192535182612166
uci,Random Forest,encoded,categorical__stalk-color-below-ring_g,stalk-color-below-ring,0.0011864965252034573
uci,Random Forest,encoded,categorical__habitat_l,habitat,0.0010870380861131414
uci,Random Forest,encoded,categorical__spore-print-color_u,spore-print-color,0.001076146451694703
uci,Random Forest,encoded,categorical__stalk-color-above-ring_c,stalk-color-above-ring,0.001050593408792568
uci,Random Forest,encoded,categorical__stalk-color-below-ring_n,stalk-color-below-ring,0.0010332387563136325
uci,Random Forest,encoded,categorical__gill-color_n,gill-color,0.000978837399961428
uci,Random Forest,encoded,categorical__stalk-color-below-ring_p,stalk-color-below-ring,0.0008494042114809922
uci,Random Forest,encoded,categorical__cap-shape_x,cap-shape,0.0008390299279165414
uci,Random Forest,encoded,categorical__cap-color_e,cap-color,0.0008329598375466103
uci,Random Forest,encoded,categorical__cap-shape_f,cap-shape,0.0008248654836001163
uci,Random Forest,encoded,categorical__gill-color_g,gill-color,0.0007562422377875549
uci,Random Forest,encoded,categorical__stalk-color-below-ring_c,stalk-color-below-ring,0.0007552302064237454
uci,Random Forest,encoded,categorical__cap-color_c,cap-color,0.0006796296319453973
uci,Random Forest,encoded,categorical__cap-color_g,cap-color,0.0005793351314594979
uci,Random Forest,encoded,categorical__gill-color_e,gill-color,0.0005226402571533681
uci,Random Forest,encoded,categorical__stalk-color-above-ring_o,stalk-color-above-ring,0.0005208734851164362
uci,Random Forest,encoded,categorical__stalk-color-above-ring_e,stalk-color-above-ring,0.0005157154376112497
uci,Random Forest,encoded,categorical__gill-color_u,gill-color,0.0005007471519671856
uci,Random Forest,encoded,categorical__ring-type_n,ring-type,0.0004834728726307514
uci,Random Forest,encoded,categorical__cap-shape_s,cap-shape,0.0004670790221531182
uci,Random Forest,encoded,categorical__stalk-surface-above-ring_y,stalk-surface-above-ring,0.00044025943150263313
uci,Random Forest,encoded,categorical__cap-shape_k,cap-shape,0.00044021453138854056
uci,Random Forest,encoded,categorical__gill-color_p,gill-color,0.00038665312050325634
uci,Random Forest,encoded,categorical__cap-color_r,cap-color,0.00037866951958000694
uci,Random Forest,encoded,categorical__gill-color_k,gill-color,0.00037737218780950244
uci,Random Forest,encoded,categorical__stalk-color-above-ring_y,stalk-color-above-ring,0.00036863195927278763
uci,Random Forest,encoded,categorical__gill-attachment_f,gill-attachment,0.00033476534121201627
uci,Random Forest,encoded,categorical__veil-color_w,veil-color,0.0002975134483317661
uci,Random Forest,encoded,categorical__gill-attachment_a,gill-attachment,0.00023850259634492863
uci,Random Forest,encoded,categorical__veil-color_o,veil-color,0.0002047398603256819
uci,Random Forest,encoded,categorical__gill-color_y,gill-color,0.00020133716001547808
uci,Random Forest,encoded,categorical__stalk-color-below-ring_e,stalk-color-below-ring,0.00019602301404346222
uci,Random Forest,encoded,categorical__odor_m,odor,0.00019481682045272098
uci,Random Forest,encoded,categorical__gill-color_o,gill-color,0.00019396555384271699
uci,Random Forest,encoded,categorical__stalk-color-below-ring_o,stalk-color-below-ring,0.00018352292933544772
uci,Random Forest,encoded,categorical__cap-shape_c,cap-shape,0.00016462635277775413
uci,Random Forest,encoded,categorical__veil-color_n,veil-color,0.00015957665584207572
uci,Random Forest,encoded,categorical__spore-print-color_y,spore-print-color,0.00015098737567060446
uci,Random Forest,encoded,categorical__spore-print-color_o,spore-print-color,0.0001498186090657285
uci,Random Forest,encoded,categorical__cap-surface_g,cap-surface,0.00011094930652097979
uci,Random Forest,encoded,categorical__cap-color_u,cap-color,6.777146639329109e-05
uci,Random Forest,encoded,categorical__veil-color_y,veil-color,5.4235627027315715e-05
uci,Random Forest,encoded,categorical__veil-type_p,veil-type,0.0
uci,Random Forest,encoded,categorical__spore-print-color_b,spore-print-color,0.0
uci,Random Forest,aggregated,,odor,0.24623064532767264
uci,Random Forest,aggregated,,gill-size,0.11943555671786137
uci,Random Forest,aggregated,,spore-print-color,0.08936299144508499
uci,Random Forest,aggregated,,stalk-surface-below-ring,0.07644044953329701
uci,Random Forest,aggregated,,ring-type,0.06624311966247226
uci,Random Forest,aggregated,,stalk-surface-above-ring,0.061385918543493415
uci,Random Forest,aggregated,,bruises,0.051048132357996434
uci,Random Forest,aggregated,,gill-color,0.045125203756678195
uci,Random Forest,aggregated,,stalk-root,0.04202676497920737
uci,Random Forest,aggregated,,gill-spacing,0.03769920177087412
uci,Random Forest,aggregated,,population,0.036175915813743555
uci,Random Forest,aggregated,,habitat,0.03252819007879496
uci,Random Forest,aggregated,,stalk-shape,0.025991767401079256
uci,Random Forest,aggregated,,cap-color,0.014723335710220196
uci,Random Forest,aggregated,,stalk-color-above-ring,0.014526175669339685
uci,Random Forest,aggregated,,stalk-color-below-ring,0.013548992524346923
uci,Random Forest,aggregated,,cap-surface,0.010350121989703365
uci,Random Forest,aggregated,,ring-number,0.01011893339987157
uci,Random Forest,aggregated,,cap-shape,0.005749249789178937
uci,Random Forest,aggregated,,veil-color,0.0007160655915268394
uci,Random Forest,aggregated,,gill-attachment,0.0005732679375569449
uci,Random Forest,aggregated,,veil-type,0.0
